Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	library
prerank	Hypoxia	0.4718106244452509	1.368691064506008	0.002002002002002002	0.05806290147659965	0.104	60/195	21.36%	PAM;CAV1;CCN2;AKAP12;NEDD4L;CSRP2;RBPJ;TES;HDLBP;TPBG;BCL2;PLAC8;CITED2;CXCR4;ENO2;FOXO3;EXT1;ISG20;PGF;PNRC1;DCN;PPP1R3C;F3;RORA;KDM3A;PDK3;CHST3;HS3ST1;JUN;HK2;NOCT;S100A4;LOX;PFKP;RRAGD;FOSL2;SLC6A6;PFKFB3;SAP30;FAM162A;TIPARP;PGM1;TMEM45A;SDC4;ERO1A;VLDLR;CAVIN3;COL5A1;AK4;UGP2;DTNA;MAP3K1;PPARGC1A;ATF3;TNFAIP3;STC1;FOS;GBE1;CP;GLRX	MSigDB_Hallmark_2020
prerank	Synapse Organization (GO:0050808)	0.5085719560825265	1.4465705525348656	0.002004008016032064	0.06111645971406697	0.203	40/127	17.51%	ZDHHC2;SLITRK3;CACNB4;CAST;BDNF;PTPRD;NTNG1;NLGN1;SNCA;LRRK2;GRM5;CACNB2;SEMA3E;DCTN1;CDH2;PDZRN3;LRRC4C;PTEN;ADGRL3;SLITRK1;DRD2;ANK3;MUSK;CACNB1;NRCAM;NRXN1;POU4F1;PCDHB16;CTNND2;LRFN5;SLITRK6;PPFIA2;APBB2;APP;LRRC4;GPM6A;SLC8A3;CHRNA1;CBLN2;PAK3	GO_Biological_Process_2023
prerank	Neuron Projection Morphogenesis (GO:0048812)	0.5253617197998344	1.4953062758225957	0.001	0.0739312012670165	0.064	65/145	25.17%	CTNNA2;CNTN4;SLITRK3;TMEM106B;BDNF;NCKAP1;NTNG1;MEF2A;NLGN1;ZDHHC17;LRRK2;ALS2;MAP2;CNTNAP2;DOCK10;EPHA4;TNIK;PLPPR4;NYAP2;PTEN;SLITRK1;DRD2;RAB10;BMP7;TRIO;ANK3;NRCAM;NRN1;POU4F1;CTNND2;ALCAM;DOCK7;SLITRK6;EPB41L3;APP;ISL1;EPHB1;DSCAML1;GPM6A;NTF3;APLP2;IMPACT;NGF;PAK3;SLITRK5;DICER1;DCLK1;MNX1;MAP4K4;SHTN1;NBL1;NTNG2;NYAP1;ADGRB1;NTF4;SHANK1;FGFR2;DCC;MYO16;CTNNB1;SPAG6;PAK1;WNT7A;MAP6;WASL	GO_Biological_Process_2023
prerank	Nervous System Development (GO:0007399)	0.4747208606918096	1.38795726209074	0.001	0.07431033563248837	0.574	143/421	21.66%	PLPPR1;ZDHHC2;FGF2;ADGRG6;POU3F2;CNTN4;PTPRZ1;ROBO2;PKD2;ST8SIA4;SERPINI1;MDGA2;SHOX2;FGF12;BDNF;FAT4;BRINP3;MBD5;CLN5;MEF2C;NCKAP1;ROBO1;NLGN1;NRSN1;GBA2;WDPCP;DCTN1;CDH2;SEMA5A;EFNA5;NAV3;CXCR4;NAV2;ZEB2;SNTG2;UGT8;PCDH1;PDGFC;RAPGEF5;GDNF;EDNRB;SPTBN1;CHRM3;SH3GL2;FBXL17;ACTL6A;APBA1;ITM2B;ADAM22;PPT1;ZIC5;PTEN;GDF11;ERBB4;ADGRL3;CRIM1;FN1;SLITRK1;DRD2;FEZ2;SCIN;ACVR1C;DPYSL5;LSAMP;NAV1;NUMBL;MET;MSI2;GRIK1;NRCAM;CAPG;NRXN1;ZIC1;WWP1;NPAS2;LDB1;SCRG1;POU4F1;NR2C2;PCDHB16;ZIC4;MBNL1;LDB2;IGF2BP2;ATXN10;INTU;ARHGAP26;MDGA1;LY6H;DACT1;APC2;CHST8;TRAK2;SLITRK6;ADGRV1;CDON;APP;RELN;BRINP2;NF1;EPHB1;POU3F3;DSCAML1;NDUFS2;GPM6A;NTF3;APLP2;PTN;B3GNT5;ERCC6;PRKN;SOX10;CXCL1;VLDLR;NELL1;SEMA6A;SEMA4F;SCN8A;FGF5;PAX6;KALRN;MTR;DCLK1;GLRB;SMO;MNX1;ADAM23;MERTK;CYP26C1;ADGRA2;RNF103;SCN2A;RAPGEFL1;WDR62;GFRA1;TRPC5;NRG1;MARCKSL1;CRMP1;NRTN;FUZ;NBL1;SPG7	GO_Biological_Process_2023
prerank	Epithelial Mesenchymal Transition	0.4585614089559162	1.322071100992866	0.009	0.07558188037040127	0.251	96/195	34.00%	LAMC2;FGF2;CCN2;CXCL6;BDNF;TGFBR3;SLIT2;PLOD2;AREG;PTX3;NT5E;CADM1;TNFRSF11B;CDH2;SDC1;ITGAV;ENO2;VEGFC;SGCB;FN1;SPP1;COL6A2;ITGA5;PFN2;DCN;BASP1;SERPINE2;COL5A2;CAPG;QSOX1;ITGA2;CD44;JUN;IGFBP4;LAMA3;ACTA2;COL11A1;LOX;COL1A1;DST;CTHRC1;COL16A1;MMP14;COL12A1;FSTL1;LUM;SDC4;CXCL1;TPM2;COL5A1;GADD45A;CD59;TNFAIP3;COL8A2;ADAM12;FBN2;PDLIM4;MMP2;TFPI2;LAMA2;CXCL8;LRRC15;NID2;COL4A2;FBLN5;LRP1;PPIB;CDH11;MYL9;NOTCH2;PMP22;RHOB;FERMT2;SNTB1;MCM7;DPYSL3;COLGALT1;THBS1;EDIL3;MMP1;COL3A1;COPA;IGFBP3;PDGFRB;MAGEE1;FAS;PCOLCE;IL6;VCAN;POSTN;TGM2;SLIT3;LAMA1;IL32;PVR;LAMC1	MSigDB_Hallmark_2020
prerank	Intracellular Calcium Ion Homeostasis (GO:0006874)	0.48937010846111567	1.3830670884514098	0.002008032128514056	0.07562105729597687	0.606	55/137	29.62%	CAV1;ATP2B1;TRPC4;ANK2;TRPC1;BCL2;CAMK2D;TMEM178A;TRPC6;CAV2;STIM1;HCRTR2;STIM2;PKHD1;TRPC3;GCM2;FKBP1B;TPT1;TMEM64;TNNI3;ATP2C2;MAIP1;ANXA6;EDNRA;ATP13A5;ATP13A2;ATP13A3;TRPA1;SLC8A3;EDN1;RYR2;MICU2;SLC24A2;MCU;SLC8A1;STC1;TRPC5;RMDN3;HCRTR1;PML;ATP13A4;SLC24A1;SLC10A7;ATP1B1;TMCO1;CASR;TPCN2;HERPUD1;SMDT1;CALCA;WBP2NL;PACS2;CCL19;EDN3;CHERP	GO_Biological_Process_2023
prerank	Negative Regulation Of Cell Motility (GO:2000146)	0.4848617812550599	1.3901866186639356	0.005005005005005005	0.07590269996747027	0.548	41/128	21.64%	TMEFF2;BRMS1L;SPOCK3;SFRP2;SLIT2;SULF1;TP53INP1;MAGI2;RAP2B;ROBO1;NAV3;CITED2;LIMCH1;EPHA4;FOXO3;MCTP1;PTEN;ARID4B;DRD2;TET1;DNAI3;DACH1;HDAC2;EMILIN1;RAP2A;ARPIN;NF1;EMILIN2;SAP30;CLIC4;ADARB1;DAG1;TACSTD2;ARID2;SPINT2;MITF;STC1;DLG5;FRMD5;FUZ;TCAF1	GO_Biological_Process_2023
prerank	Positive Regulation Of Metabolic Process (GO:0009893)	0.5126903539254369	1.4480415715158212	0.002014098690835851	0.07853136490140863	0.197	38/103	23.33%	CAV1;PTH2R;ELOVL6;CMKLR1;LEPR;TSHR;CXCR4;GATM;PDGFC;FFAR4;ESRRG;ZNF516;DIO2;FABP5;CD36;HDAC3;KDM3A;LPIN1;IGF1R;HADHA;GRB10;IRF4;OMA1;APLP2;GHRL;DBH;ADCYAP1;IFNG;PPARGC1B;DECR1;PPARGC1A;ACSL1;ADIPOR1;JAK2;GNAS;EHMT1;ADRB2;BSCL2	GO_Biological_Process_2023
prerank	Glycolysis	0.4511135038572619	1.30004418554693	0.009	0.07975306582130642	0.375	56/196	20.17%	PAM;LHX9;GALK2;ME1;DSC2;ANG;HDLBP;TPBG;PLOD2;SLC25A13;NT5E;NDST3;CITED2;CXCR4;SDC1;ENO2;SLC35A3;EXT1;ISG20;MET;COPB2;DCN;MDH1;ARPP19;QSOX1;PDK3;CD44;AK3;HOMER1;HK2;AGL;GNE;PFKP;RRAGD;RPE;DLD;PHKA2;SAP30;FAM162A;ME2;DEPDC1;KIF2A;ERO1A;XYLT2;VLDLR;RARS1;COL5A1;AK4;ELF3;UGP2;GLCE;GOT1;MERTK;GFPT1;FUT8;STC1	MSigDB_Hallmark_2020
prerank	Protein Localization To Plasma Membrane (GO:0072659)	0.4904129814565618	1.3909707235609143	0.003006012024048096	0.08172758249153825	0.545	57/130	27.15%	KCNIP4;ZDHHC2;NECTIN3;DPP10;DENND4C;P2RY1;ANK2;GORASP2;CACNB2;EZR;SPTBN1;TNIK;RAB10;ANK3;C2CD5;ANK1;ZDHHC23;RAP2A;FYB1;EFR3A;RAMP3;FYB2;DLG1;EPB41L3;KCNB2;PACS1;SCN3B;TTC7B;IKBKB;RAPGEF2;CCDC88A;MYO5A;TMEM150A;GAS6;SEC16A;NKD2;PTCH1;PALS1;FLOT1;RDX;EPHA2;MAP7;HYCC1;EHD4;INPP5K;RAB12;KCNIP3;F11R;RAB11A;ATP1B1;HYCC2;WDR72;S100A10;MRAP2;ROCK1;TSPAN5;CD81	GO_Biological_Process_2023
prerank	Complement	0.4492318391424787	1.2831642703352564	0.012	0.08246433636439476	0.478	70/197	25.19%	CBLB;PCLO;GCA;CD55;CPM;GNB4;ME1;CR2;ANG;PIK3CA;CASP4;GPD2;DYRK2;DGKH;DOCK10;HNF4A;DPP4;ZFPM2;CTSC;MMP13;GZMB;CTSO;FN1;FYN;CD36;PLA2G4A;BRPF3;C2;F3;GNG2;CSRP1;USP14;CASP7;L3MBTL4;PIK3R5;DGKG;GP9;MT3;CPQ;MMP14;LIPA;PDP1;KIF2A;CXCL1;ATOX1;APOC1;PLA2G7;PLSCR1;CD59;TMPRSS6;TNFAIP3;IRF2;GZMA;CLU;CP;PRSS3;JAK2;TFPI2;DOCK9;USP16;CA2;COL4A2;PDGFB;DOCK4;KCNIP3;LRP1;GATA3;PRCP;LYN;KCNIP2	MSigDB_Hallmark_2020
prerank	Spermatogenesis	0.4553256780360728	1.2899083682700594	0.024024024024024024	0.08337603832723546	0.441	47/134	24.25%	ARL4A;SLC12A2;HSPA4L;MTNR1A;RPL39L;IDE;PACRG;IL12RB2;ART3;ZC2HC1C;SIRT1;DMRT1;SYCP1;CST8;SNAP91;DMC1;TNNI3;GFI1;CAMK4;CLVS1;CFTR;TTK;TSN;TUBA3C;NPY5R;LPIN1;ACRBP;NAA11;STAM2;HBZ;ZPBP;CLGN;ADCYAP1;CRISP2;DBF4;HTR5A;EZH2;CSNK2A2;IP6K1;SHE;GSTM3;GSG1;MAP7;ADAD1;PGS1;CDK1;DCC	MSigDB_Hallmark_2020
prerank	IL-2/STAT5 Signaling	0.4525566762293105	1.3021044192804512	0.009	0.09129890714941186	0.359	79/194	27.19%	GUCY1B1;ARL4A;SH3BGRL2;SLC39A8;BCL2;NT5E;SCN9A;CD86;ITGAV;IKZF2;EMP1;BMPR2;BATF3;TTC39B;SPP1;IFNGR1;WLS;TNFRSF21;SMPDL3A;AMACR;LRRC8C;IKZF4;CAPG;RORA;CTLA4;TWSG1;TNFSF11;RHOH;CD44;SERPINB6;PTGER2;ALCAM;HK2;GPX4;IGF1R;SOCS2;RRAGD;CKAP4;EOMES;IL18R1;IRF4;ENPP1;PLEC;CSF2;CD83;ITIH5;POU2F1;DHRS3;PHLDA1;SNX9;PLSCR1;AHR;GLIPR2;PHTF2;RABGAP1L;HOPX;NFKBIZ;IRF8;PTCH1;IL1R2;TRAF1;NOP2;COCH;SHE;CDC42SE2;CA2;ICOS;ANXA4;ODC1;CCND2;CD48;MAP6;PRAF2;PNP;NDRG1;PUS1;ABCB1;CD81;RHOB	MSigDB_Hallmark_2020
prerank	Protein Localization To Cell Periphery (GO:1990778)	0.48231881846441227	1.369405127844854	0.005005005005005005	0.09147753970105507	0.701	57/135	27.15%	KCNIP4;CAV1;ZDHHC2;DPP10;DENND4C;P2RY1;WDR19;ANK2;CACNB2;EZR;LIN7A;SPTBN1;TNIK;RAB10;ANK3;C2CD5;ANK1;ZDHHC23;RAP2A;FYB1;EFR3A;RAMP3;FYB2;DLG1;EPB41L3;KCNB2;PACS1;SCN3B;TTC7B;IKBKB;RAPGEF2;MYO5A;TMEM150A;GAS6;SEC16A;NKD2;PTCH1;PALS1;FLOT1;RDX;EPHA2;MAP7;HYCC1;EHD4;INPP5K;RAB12;KCNIP3;F11R;RAB11A;ATP1B1;HYCC2;WDR72;S100A10;MRAP2;ROCK1;TSPAN5;CD81	GO_Biological_Process_2023
