cohort	condition_value	condition_label	bin_left_log10	bin_right_log10	count	n_total
dose	0.5	0.5 µL	2.4468724223492826	2.468152061508772	30	2315
dose	0.5	0.5 µL	2.468152061508772	2.489431700668262	30	2315
dose	0.5	0.5 µL	2.489431700668262	2.5107113398277514	33	2315
dose	0.5	0.5 µL	2.5107113398277514	2.531990978987241	20	2315
dose	0.5	0.5 µL	2.531990978987241	2.5532706181467306	35	2315
dose	0.5	0.5 µL	2.5532706181467306	2.5745502573062202	22	2315
dose	0.5	0.5 µL	2.5745502573062202	2.59582989646571	22	2315
dose	0.5	0.5 µL	2.59582989646571	2.6171095356251994	15	2315
dose	0.5	0.5 µL	2.6171095356251994	2.638389174784689	26	2315
dose	0.5	0.5 µL	2.638389174784689	2.6596688139441786	23	2315
dose	0.5	0.5 µL	2.6596688139441786	2.6809484531036682	21	2315
dose	0.5	0.5 µL	2.6809484531036682	2.702228092263158	18	2315
dose	0.5	0.5 µL	2.702228092263158	2.723507731422648	14	2315
dose	0.5	0.5 µL	2.723507731422648	2.7447873705821375	19	2315
dose	0.5	0.5 µL	2.7447873705821375	2.766067009741627	20	2315
dose	0.5	0.5 µL	2.766067009741627	2.7873466489011167	19	2315
dose	0.5	0.5 µL	2.7873466489011167	2.8086262880606063	13	2315
dose	0.5	0.5 µL	2.8086262880606063	2.829905927220096	22	2315
dose	0.5	0.5 µL	2.829905927220096	2.8511855663795855	14	2315
dose	0.5	0.5 µL	2.8511855663795855	2.872465205539075	14	2315
dose	0.5	0.5 µL	2.872465205539075	2.8937448446985647	8	2315
dose	0.5	0.5 µL	2.8937448446985647	2.9150244838580543	11	2315
dose	0.5	0.5 µL	2.9150244838580543	2.9363041230175444	14	2315
dose	0.5	0.5 µL	2.9363041230175444	2.957583762177034	17	2315
dose	0.5	0.5 µL	2.957583762177034	2.9788634013365236	11	2315
dose	0.5	0.5 µL	2.9788634013365236	3.000143040496013	7	2315
dose	0.5	0.5 µL	3.000143040496013	3.021422679655503	13	2315
dose	0.5	0.5 µL	3.021422679655503	3.0427023188149924	6	2315
dose	0.5	0.5 µL	3.0427023188149924	3.063981957974482	10	2315
dose	0.5	0.5 µL	3.063981957974482	3.0852615971339716	11	2315
dose	0.5	0.5 µL	3.0852615971339716	3.1065412362934612	14	2315
dose	0.5	0.5 µL	3.1065412362934612	3.127820875452951	10	2315
dose	0.5	0.5 µL	3.127820875452951	3.1491005146124404	3	2315
dose	0.5	0.5 µL	3.1491005146124404	3.17038015377193	7	2315
dose	0.5	0.5 µL	3.17038015377193	3.1916597929314197	8	2315
dose	0.5	0.5 µL	3.1916597929314197	3.2129394320909093	6	2315
dose	0.5	0.5 µL	3.2129394320909093	3.234219071250399	8	2315
dose	0.5	0.5 µL	3.234219071250399	3.2554987104098885	7	2315
dose	0.5	0.5 µL	3.2554987104098885	3.276778349569378	6	2315
dose	0.5	0.5 µL	3.276778349569378	3.298057988728868	10	2315
dose	0.5	0.5 µL	3.298057988728868	3.3193376278883577	5	2315
dose	0.5	0.5 µL	3.3193376278883577	3.3406172670478473	7	2315
dose	0.5	0.5 µL	3.3406172670478473	3.361896906207337	3	2315
dose	0.5	0.5 µL	3.361896906207337	3.3831765453668265	2	2315
dose	0.5	0.5 µL	3.3831765453668265	3.404456184526316	6	2315
dose	0.5	0.5 µL	3.404456184526316	3.4257358236858058	8	2315
dose	0.5	0.5 µL	3.4257358236858058	3.447015462845296	5	2315
dose	0.5	0.5 µL	3.447015462845296	3.4682951020047854	1	2315
dose	0.5	0.5 µL	3.4682951020047854	3.489574741164275	7	2315
dose	0.5	0.5 µL	3.489574741164275	3.5108543803237646	5	2315
dose	0.5	0.5 µL	3.5108543803237646	3.5321340194832542	1	2315
dose	0.5	0.5 µL	3.5321340194832542	3.553413658642744	3	2315
dose	0.5	0.5 µL	3.553413658642744	3.5746932978022334	0	2315
dose	0.5	0.5 µL	3.5746932978022334	3.595972936961723	3	2315
dose	0.5	0.5 µL	3.595972936961723	3.6172525761212126	7	2315
dose	0.5	0.5 µL	3.6172525761212126	3.6385322152807023	3	2315
dose	0.5	0.5 µL	3.6385322152807023	3.659811854440192	1	2315
dose	0.5	0.5 µL	3.659811854440192	3.6810914935996815	2	2315
dose	0.5	0.5 µL	3.6810914935996815	3.702371132759171	6	2315
dose	0.5	0.5 µL	3.702371132759171	3.7236507719186607	6	2315
dose	0.5	0.5 µL	3.7236507719186607	3.7449304110781503	3	2315
dose	0.5	0.5 µL	3.7449304110781503	3.76621005023764	4	2315
dose	0.5	0.5 µL	3.76621005023764	3.7874896893971295	4	2315
dose	0.5	0.5 µL	3.7874896893971295	3.808769328556619	5	2315
dose	0.5	0.5 µL	3.808769328556619	3.8300489677161087	4	2315
dose	0.5	0.5 µL	3.8300489677161087	3.8513286068755987	7	2315
dose	0.5	0.5 µL	3.8513286068755987	3.8726082460350884	3	2315
dose	0.5	0.5 µL	3.8726082460350884	3.893887885194578	3	2315
dose	0.5	0.5 µL	3.893887885194578	3.9151675243540676	6	2315
dose	0.5	0.5 µL	3.9151675243540676	3.936447163513557	1	2315
dose	0.5	0.5 µL	3.936447163513557	3.9577268026730468	2	2315
dose	0.5	0.5 µL	3.9577268026730468	3.979006441832537	4	2315
dose	0.5	0.5 µL	3.979006441832537	4.000286080992026	2	2315
dose	0.5	0.5 µL	4.000286080992026	4.021565720151516	2	2315
dose	0.5	0.5 µL	4.021565720151516	4.042845359311006	0	2315
dose	0.5	0.5 µL	4.042845359311006	4.064124998470495	0	2315
dose	0.5	0.5 µL	4.064124998470495	4.085404637629985	0	2315
dose	0.5	0.5 µL	4.085404637629985	4.1066842767894745	0	2315
dose	0.5	0.5 µL	4.1066842767894745	4.127963915948964	0	2315
dose	1.0	1 µL	2.0	2.0212796391594896	161	1630
dose	1.0	1 µL	2.0212796391594896	2.042559278318979	118	1630
dose	1.0	1 µL	2.042559278318979	2.063838917478469	81	1630
dose	1.0	1 µL	2.063838917478469	2.0851185566379584	106	1630
dose	1.0	1 µL	2.0851185566379584	2.106398195797448	76	1630
dose	1.0	1 µL	2.106398195797448	2.1276778349569376	88	1630
dose	1.0	1 µL	2.1276778349569376	2.1489574741164277	57	1630
dose	1.0	1 µL	2.1489574741164277	2.1702371132759173	58	1630
dose	1.0	1 µL	2.1702371132759173	2.191516752435407	56	1630
dose	1.0	1 µL	2.191516752435407	2.2127963915948965	45	1630
dose	1.0	1 µL	2.2127963915948965	2.234076030754386	47	1630
dose	1.0	1 µL	2.234076030754386	2.2553556699138757	41	1630
dose	1.0	1 µL	2.2553556699138757	2.2766353090733653	38	1630
dose	1.0	1 µL	2.2766353090733653	2.297914948232855	22	1630
dose	1.0	1 µL	2.297914948232855	2.3191945873923445	41	1630
dose	1.0	1 µL	2.3191945873923445	2.340474226551834	39	1630
dose	1.0	1 µL	2.340474226551834	2.3617538657113237	22	1630
dose	1.0	1 µL	2.3617538657113237	2.3830335048708133	24	1630
dose	1.0	1 µL	2.3830335048708133	2.4043131440303034	19	1630
dose	1.0	1 µL	2.4043131440303034	2.425592783189793	20	1630
dose	1.0	1 µL	2.425592783189793	2.4468724223492826	22	1630
dose	1.0	1 µL	2.4468724223492826	2.468152061508772	17	1630
dose	1.0	1 µL	2.468152061508772	2.489431700668262	16	1630
dose	1.0	1 µL	2.489431700668262	2.5107113398277514	14	1630
dose	1.0	1 µL	2.5107113398277514	2.531990978987241	25	1630
dose	1.0	1 µL	2.531990978987241	2.5532706181467306	11	1630
dose	1.0	1 µL	2.5532706181467306	2.5745502573062202	6	1630
dose	1.0	1 µL	2.5745502573062202	2.59582989646571	13	1630
dose	1.0	1 µL	2.59582989646571	2.6171095356251994	13	1630
dose	1.0	1 µL	2.6171095356251994	2.638389174784689	15	1630
dose	1.0	1 µL	2.638389174784689	2.6596688139441786	9	1630
dose	1.0	1 µL	2.6596688139441786	2.6809484531036682	14	1630
dose	1.0	1 µL	2.6809484531036682	2.702228092263158	9	1630
dose	1.0	1 µL	2.702228092263158	2.723507731422648	8	1630
dose	1.0	1 µL	2.723507731422648	2.7447873705821375	8	1630
dose	1.0	1 µL	2.7447873705821375	2.766067009741627	8	1630
dose	1.0	1 µL	2.766067009741627	2.7873466489011167	11	1630
dose	1.0	1 µL	2.7873466489011167	2.8086262880606063	4	1630
dose	1.0	1 µL	2.8086262880606063	2.829905927220096	11	1630
dose	1.0	1 µL	2.829905927220096	2.8511855663795855	6	1630
dose	1.0	1 µL	2.8511855663795855	2.872465205539075	8	1630
dose	1.0	1 µL	2.872465205539075	2.8937448446985647	4	1630
dose	1.0	1 µL	2.8937448446985647	2.9150244838580543	11	1630
dose	1.0	1 µL	2.9150244838580543	2.9363041230175444	5	1630
dose	1.0	1 µL	2.9363041230175444	2.957583762177034	7	1630
dose	1.0	1 µL	2.957583762177034	2.9788634013365236	6	1630
dose	1.0	1 µL	2.9788634013365236	3.000143040496013	7	1630
dose	1.0	1 µL	3.000143040496013	3.021422679655503	2	1630
dose	1.0	1 µL	3.021422679655503	3.0427023188149924	5	1630
dose	1.0	1 µL	3.0427023188149924	3.063981957974482	8	1630
dose	1.0	1 µL	3.063981957974482	3.0852615971339716	6	1630
dose	1.0	1 µL	3.0852615971339716	3.1065412362934612	8	1630
dose	1.0	1 µL	3.1065412362934612	3.127820875452951	5	1630
dose	1.0	1 µL	3.127820875452951	3.1491005146124404	5	1630
dose	1.0	1 µL	3.1491005146124404	3.17038015377193	7	1630
dose	1.0	1 µL	3.17038015377193	3.1916597929314197	4	1630
dose	1.0	1 µL	3.1916597929314197	3.2129394320909093	3	1630
dose	1.0	1 µL	3.2129394320909093	3.234219071250399	5	1630
dose	1.0	1 µL	3.234219071250399	3.2554987104098885	4	1630
dose	1.0	1 µL	3.2554987104098885	3.276778349569378	9	1630
dose	1.0	1 µL	3.276778349569378	3.298057988728868	4	1630
dose	1.0	1 µL	3.298057988728868	3.3193376278883577	2	1630
dose	1.0	1 µL	3.3193376278883577	3.3406172670478473	5	1630
dose	1.0	1 µL	3.3406172670478473	3.361896906207337	10	1630
dose	1.0	1 µL	3.361896906207337	3.3831765453668265	1	1630
dose	1.0	1 µL	3.3831765453668265	3.404456184526316	2	1630
dose	1.0	1 µL	3.404456184526316	3.4257358236858058	3	1630
dose	1.0	1 µL	3.4257358236858058	3.447015462845296	5	1630
dose	1.0	1 µL	3.447015462845296	3.4682951020047854	4	1630
dose	1.0	1 µL	3.4682951020047854	3.489574741164275	7	1630
dose	1.0	1 µL	3.489574741164275	3.5108543803237646	4	1630
dose	1.0	1 µL	3.5108543803237646	3.5321340194832542	3	1630
dose	1.0	1 µL	3.5321340194832542	3.553413658642744	2	1630
dose	1.0	1 µL	3.553413658642744	3.5746932978022334	0	1630
dose	1.0	1 µL	3.5746932978022334	3.595972936961723	2	1630
dose	1.0	1 µL	3.595972936961723	3.6172525761212126	5	1630
dose	1.0	1 µL	3.6172525761212126	3.6385322152807023	2	1630
dose	1.0	1 µL	3.6385322152807023	3.659811854440192	3	1630
dose	1.0	1 µL	3.659811854440192	3.6810914935996815	0	1630
dose	1.0	1 µL	3.6810914935996815	3.702371132759171	0	1630
dose	1.0	1 µL	3.702371132759171	3.7236507719186607	6	1630
dose	1.0	1 µL	3.7236507719186607	3.7449304110781503	5	1630
dose	1.0	1 µL	3.7449304110781503	3.76621005023764	5	1630
dose	1.0	1 µL	3.76621005023764	3.7874896893971295	1	1630
dose	1.0	1 µL	3.7874896893971295	3.808769328556619	5	1630
dose	1.0	1 µL	3.808769328556619	3.8300489677161087	3	1630
dose	1.0	1 µL	3.8300489677161087	3.8513286068755987	5	1630
dose	1.0	1 µL	3.8513286068755987	3.8726082460350884	3	1630
dose	1.0	1 µL	3.8726082460350884	3.893887885194578	5	1630
dose	1.0	1 µL	3.893887885194578	3.9151675243540676	2	1630
dose	1.0	1 µL	3.9151675243540676	3.936447163513557	0	1630
dose	1.0	1 µL	3.936447163513557	3.9577268026730468	4	1630
dose	1.0	1 µL	3.9577268026730468	3.979006441832537	1	1630
dose	1.0	1 µL	3.979006441832537	4.000286080992026	0	1630
dose	1.0	1 µL	4.000286080992026	4.021565720151516	1	1630
dose	1.0	1 µL	4.021565720151516	4.042845359311006	1	1630
dose	1.0	1 µL	4.042845359311006	4.064124998470495	0	1630
dose	1.0	1 µL	4.064124998470495	4.085404637629985	0	1630
dose	1.0	1 µL	4.085404637629985	4.1066842767894745	0	1630
dose	1.0	1 µL	4.1066842767894745	4.127963915948964	1	1630
dose	2.0	2 µL	2.0	2.0212796391594896	137	1089
dose	2.0	2 µL	2.0212796391594896	2.042559278318979	78	1089
dose	2.0	2 µL	2.042559278318979	2.063838917478469	76	1089
dose	2.0	2 µL	2.063838917478469	2.0851185566379584	70	1089
dose	2.0	2 µL	2.0851185566379584	2.106398195797448	64	1089
dose	2.0	2 µL	2.106398195797448	2.1276778349569376	70	1089
dose	2.0	2 µL	2.1276778349569376	2.1489574741164277	40	1089
dose	2.0	2 µL	2.1489574741164277	2.1702371132759173	54	1089
dose	2.0	2 µL	2.1702371132759173	2.191516752435407	41	1089
dose	2.0	2 µL	2.191516752435407	2.2127963915948965	47	1089
dose	2.0	2 µL	2.2127963915948965	2.234076030754386	34	1089
dose	2.0	2 µL	2.234076030754386	2.2553556699138757	35	1089
dose	2.0	2 µL	2.2553556699138757	2.2766353090733653	39	1089
dose	2.0	2 µL	2.2766353090733653	2.297914948232855	19	1089
dose	2.0	2 µL	2.297914948232855	2.3191945873923445	25	1089
dose	2.0	2 µL	2.3191945873923445	2.340474226551834	16	1089
dose	2.0	2 µL	2.340474226551834	2.3617538657113237	16	1089
dose	2.0	2 µL	2.3617538657113237	2.3830335048708133	12	1089
dose	2.0	2 µL	2.3830335048708133	2.4043131440303034	11	1089
dose	2.0	2 µL	2.4043131440303034	2.425592783189793	16	1089
dose	2.0	2 µL	2.425592783189793	2.4468724223492826	9	1089
dose	2.0	2 µL	2.4468724223492826	2.468152061508772	12	1089
dose	2.0	2 µL	2.468152061508772	2.489431700668262	7	1089
dose	2.0	2 µL	2.489431700668262	2.5107113398277514	5	1089
dose	2.0	2 µL	2.5107113398277514	2.531990978987241	6	1089
dose	2.0	2 µL	2.531990978987241	2.5532706181467306	4	1089
dose	2.0	2 µL	2.5532706181467306	2.5745502573062202	9	1089
dose	2.0	2 µL	2.5745502573062202	2.59582989646571	4	1089
dose	2.0	2 µL	2.59582989646571	2.6171095356251994	4	1089
dose	2.0	2 µL	2.6171095356251994	2.638389174784689	5	1089
dose	2.0	2 µL	2.638389174784689	2.6596688139441786	0	1089
dose	2.0	2 µL	2.6596688139441786	2.6809484531036682	7	1089
dose	2.0	2 µL	2.6809484531036682	2.702228092263158	4	1089
dose	2.0	2 µL	2.702228092263158	2.723507731422648	6	1089
dose	2.0	2 µL	2.723507731422648	2.7447873705821375	7	1089
dose	2.0	2 µL	2.7447873705821375	2.766067009741627	4	1089
dose	2.0	2 µL	2.766067009741627	2.7873466489011167	1	1089
dose	2.0	2 µL	2.7873466489011167	2.8086262880606063	4	1089
dose	2.0	2 µL	2.8086262880606063	2.829905927220096	1	1089
dose	2.0	2 µL	2.829905927220096	2.8511855663795855	6	1089
dose	2.0	2 µL	2.8511855663795855	2.872465205539075	3	1089
dose	2.0	2 µL	2.872465205539075	2.8937448446985647	0	1089
dose	2.0	2 µL	2.8937448446985647	2.9150244838580543	2	1089
dose	2.0	2 µL	2.9150244838580543	2.9363041230175444	0	1089
dose	2.0	2 µL	2.9363041230175444	2.957583762177034	5	1089
dose	2.0	2 µL	2.957583762177034	2.9788634013365236	1	1089
dose	2.0	2 µL	2.9788634013365236	3.000143040496013	4	1089
dose	2.0	2 µL	3.000143040496013	3.021422679655503	2	1089
dose	2.0	2 µL	3.021422679655503	3.0427023188149924	1	1089
dose	2.0	2 µL	3.0427023188149924	3.063981957974482	5	1089
dose	2.0	2 µL	3.063981957974482	3.0852615971339716	2	1089
dose	2.0	2 µL	3.0852615971339716	3.1065412362934612	3	1089
dose	2.0	2 µL	3.1065412362934612	3.127820875452951	2	1089
dose	2.0	2 µL	3.127820875452951	3.1491005146124404	1	1089
dose	2.0	2 µL	3.1491005146124404	3.17038015377193	2	1089
dose	2.0	2 µL	3.17038015377193	3.1916597929314197	3	1089
dose	2.0	2 µL	3.1916597929314197	3.2129394320909093	0	1089
dose	2.0	2 µL	3.2129394320909093	3.234219071250399	2	1089
dose	2.0	2 µL	3.234219071250399	3.2554987104098885	3	1089
dose	2.0	2 µL	3.2554987104098885	3.276778349569378	1	1089
dose	2.0	2 µL	3.276778349569378	3.298057988728868	1	1089
dose	2.0	2 µL	3.298057988728868	3.3193376278883577	5	1089
dose	2.0	2 µL	3.3193376278883577	3.3406172670478473	2	1089
dose	2.0	2 µL	3.3406172670478473	3.361896906207337	1	1089
dose	2.0	2 µL	3.361896906207337	3.3831765453668265	1	1089
dose	2.0	2 µL	3.3831765453668265	3.404456184526316	0	1089
dose	2.0	2 µL	3.404456184526316	3.4257358236858058	1	1089
dose	2.0	2 µL	3.4257358236858058	3.447015462845296	1	1089
dose	2.0	2 µL	3.447015462845296	3.4682951020047854	4	1089
dose	2.0	2 µL	3.4682951020047854	3.489574741164275	0	1089
dose	2.0	2 µL	3.489574741164275	3.5108543803237646	0	1089
dose	2.0	2 µL	3.5108543803237646	3.5321340194832542	1	1089
dose	2.0	2 µL	3.5321340194832542	3.553413658642744	2	1089
dose	2.0	2 µL	3.553413658642744	3.5746932978022334	0	1089
dose	2.0	2 µL	3.5746932978022334	3.595972936961723	2	1089
dose	2.0	2 µL	3.595972936961723	3.6172525761212126	2	1089
dose	2.0	2 µL	3.6172525761212126	3.6385322152807023	1	1089
dose	2.0	2 µL	3.6385322152807023	3.659811854440192	2	1089
dose	2.0	2 µL	3.659811854440192	3.6810914935996815	0	1089
dose	2.0	2 µL	3.6810914935996815	3.702371132759171	0	1089
dose	2.0	2 µL	3.702371132759171	3.7236507719186607	2	1089
dose	2.0	2 µL	3.7236507719186607	3.7449304110781503	0	1089
dose	2.0	2 µL	3.7449304110781503	3.76621005023764	2	1089
dose	2.0	2 µL	3.76621005023764	3.7874896893971295	2	1089
dose	2.0	2 µL	3.7874896893971295	3.808769328556619	0	1089
dose	2.0	2 µL	3.808769328556619	3.8300489677161087	0	1089
dose	2.0	2 µL	3.8300489677161087	3.8513286068755987	0	1089
dose	2.0	2 µL	3.8513286068755987	3.8726082460350884	4	1089
dose	2.0	2 µL	3.8726082460350884	3.893887885194578	1	1089
dose	2.0	2 µL	3.893887885194578	3.9151675243540676	0	1089
dose	2.0	2 µL	3.9151675243540676	3.936447163513557	2	1089
dose	2.0	2 µL	3.936447163513557	3.9577268026730468	0	1089
dose	2.0	2 µL	3.9577268026730468	3.979006441832537	0	1089
dose	2.0	2 µL	3.979006441832537	4.000286080992026	1	1089
dose	2.0	2 µL	4.000286080992026	4.021565720151516	1	1089
dose	2.0	2 µL	4.021565720151516	4.042845359311006	0	1089
dose	2.0	2 µL	4.042845359311006	4.064124998470495	0	1089
dose	2.0	2 µL	4.064124998470495	4.085404637629985	0	1089
dose	2.0	2 µL	4.085404637629985	4.1066842767894745	0	1089
dose	2.0	2 µL	4.1066842767894745	4.127963915948964	0	1089
dose	4.0	4 µL	2.0	2.0212796391594896	149	2015
dose	4.0	4 µL	2.0212796391594896	2.042559278318979	112	2015
dose	4.0	4 µL	2.042559278318979	2.063838917478469	96	2015
