cohort	condition_value	condition_label	metric	bin_left_log10	bin_right_log10	count	n_total
technical_replicate	1.0	replicate 1	footprint_size	3.459948370342291	3.4838819501839673	98	11043
technical_replicate	1.0	replicate 1	footprint_size	3.4838819501839673	3.5078155300256446	108	11043
technical_replicate	1.0	replicate 1	footprint_size	3.5078155300256446	3.531749109867321	92	11043
technical_replicate	1.0	replicate 1	footprint_size	3.531749109867321	3.5556826897089984	88	11043
technical_replicate	1.0	replicate 1	footprint_size	3.5556826897089984	3.579616269550675	85	11043
technical_replicate	1.0	replicate 1	footprint_size	3.579616269550675	3.603549849392352	81	11043
technical_replicate	1.0	replicate 1	footprint_size	3.603549849392352	3.6274834292340286	101	11043
technical_replicate	1.0	replicate 1	footprint_size	3.6274834292340286	3.651417009075706	92	11043
technical_replicate	1.0	replicate 1	footprint_size	3.651417009075706	3.6753505889173823	87	11043
technical_replicate	1.0	replicate 1	footprint_size	3.6753505889173823	3.6992841687590596	78	11043
technical_replicate	1.0	replicate 1	footprint_size	3.6992841687590596	3.7232177486007365	133	11043
technical_replicate	1.0	replicate 1	footprint_size	3.7232177486007365	3.7471513284424134	163	11043
technical_replicate	1.0	replicate 1	footprint_size	3.7471513284424134	3.7710849082840903	147	11043
technical_replicate	1.0	replicate 1	footprint_size	3.7710849082840903	3.795018488125767	147	11043
technical_replicate	1.0	replicate 1	footprint_size	3.795018488125767	3.818952067967444	133	11043
technical_replicate	1.0	replicate 1	footprint_size	3.818952067967444	3.842885647809121	138	11043
technical_replicate	1.0	replicate 1	footprint_size	3.842885647809121	3.8668192276507978	139	11043
technical_replicate	1.0	replicate 1	footprint_size	3.8668192276507978	3.8907528074924747	127	11043
technical_replicate	1.0	replicate 1	footprint_size	3.8907528074924747	3.9146863873341515	108	11043
technical_replicate	1.0	replicate 1	footprint_size	3.9146863873341515	3.9386199671758284	103	11043
technical_replicate	1.0	replicate 1	footprint_size	3.9386199671758284	3.9625535470175053	101	11043
technical_replicate	1.0	replicate 1	footprint_size	3.9625535470175053	3.986487126859182	95	11043
technical_replicate	1.0	replicate 1	footprint_size	3.986487126859182	4.0104207067008595	107	11043
technical_replicate	1.0	replicate 1	footprint_size	4.0104207067008595	4.034354286542536	84	11043
technical_replicate	1.0	replicate 1	footprint_size	4.034354286542536	4.058287866384212	82	11043
technical_replicate	1.0	replicate 1	footprint_size	4.058287866384212	4.08222144622589	65	11043
technical_replicate	1.0	replicate 1	footprint_size	4.08222144622589	4.106155026067567	53	11043
technical_replicate	1.0	replicate 1	footprint_size	4.106155026067567	4.130088605909243	60	11043
technical_replicate	1.0	replicate 1	footprint_size	4.130088605909243	4.154022185750921	56	11043
technical_replicate	1.0	replicate 1	footprint_size	4.154022185750921	4.177955765592598	38	11043
technical_replicate	1.0	replicate 1	footprint_size	4.177955765592598	4.2018893454342745	32	11043
technical_replicate	1.0	replicate 1	footprint_size	4.2018893454342745	4.225822925275951	39	11043
technical_replicate	1.0	replicate 1	footprint_size	4.225822925275951	4.249756505117628	30	11043
technical_replicate	1.0	replicate 1	footprint_size	4.249756505117628	4.273690084959306	36	11043
technical_replicate	1.0	replicate 1	footprint_size	4.273690084959306	4.297623664800982	17	11043
technical_replicate	1.0	replicate 1	footprint_size	4.297623664800982	4.3215572446426584	13	11043
technical_replicate	1.0	replicate 1	footprint_size	4.3215572446426584	4.345490824484336	8	11043
technical_replicate	1.0	replicate 1	footprint_size	4.345490824484336	4.369424404326013	7	11043
technical_replicate	1.0	replicate 1	footprint_size	4.369424404326013	4.3933579841676895	9	11043
technical_replicate	2.0	replicate 2	footprint_size	2.0	2.023933579841677	96	10657
technical_replicate	2.0	replicate 2	footprint_size	2.023933579841677	2.0478671596833538	116	10657
technical_replicate	2.0	replicate 2	footprint_size	2.0478671596833538	2.0718007395250306	105	10657
technical_replicate	2.0	replicate 2	footprint_size	2.0718007395250306	2.0957343193667075	117	10657
technical_replicate	2.0	replicate 2	footprint_size	2.0957343193667075	2.1196678992083844	94	10657
technical_replicate	2.0	replicate 2	footprint_size	2.1196678992083844	2.1436014790500613	101	10657
technical_replicate	2.0	replicate 2	footprint_size	2.1436014790500613	2.167535058891738	104	10657
technical_replicate	2.0	replicate 2	footprint_size	2.167535058891738	2.191468638733415	108	10657
technical_replicate	2.0	replicate 2	footprint_size	2.191468638733415	2.215402218575092	115	10657
technical_replicate	2.0	replicate 2	footprint_size	2.215402218575092	2.2393357984167688	93	10657
technical_replicate	2.0	replicate 2	footprint_size	2.2393357984167688	2.2632693782584457	119	10657
technical_replicate	2.0	replicate 2	footprint_size	2.2632693782584457	2.2872029581001225	108	10657
technical_replicate	2.0	replicate 2	footprint_size	2.2872029581001225	2.3111365379418	119	10657
technical_replicate	2.0	replicate 2	footprint_size	2.3111365379418	2.3350701177834763	128	10657
technical_replicate	2.0	replicate 2	footprint_size	2.3350701177834763	2.3590036976251536	108	10657
technical_replicate	2.0	replicate 2	footprint_size	2.3590036976251536	2.3829372774668305	122	10657
technical_replicate	2.0	replicate 2	footprint_size	2.3829372774668305	2.4068708573085074	111	10657
technical_replicate	2.0	replicate 2	footprint_size	2.4068708573085074	2.4308044371501842	125	10657
technical_replicate	2.0	replicate 2	footprint_size	2.4308044371501842	2.454738016991861	113	10657
technical_replicate	2.0	replicate 2	footprint_size	2.454738016991861	2.478671596833538	131	10657
technical_replicate	2.0	replicate 2	footprint_size	2.478671596833538	2.502605176675215	135	10657
technical_replicate	2.0	replicate 2	footprint_size	2.502605176675215	2.5265387565168917	118	10657
technical_replicate	2.0	replicate 2	footprint_size	2.5265387565168917	2.5504723363585686	117	10657
technical_replicate	2.0	replicate 2	footprint_size	2.5504723363585686	2.5744059162002455	142	10657
technical_replicate	2.0	replicate 2	footprint_size	2.5744059162002455	2.5983394960419224	125	10657
technical_replicate	2.0	replicate 2	footprint_size	2.5983394960419224	2.6222730758835993	156	10657
technical_replicate	2.0	replicate 2	footprint_size	2.6222730758835993	2.646206655725276	118	10657
technical_replicate	2.0	replicate 2	footprint_size	2.646206655725276	2.670140235566953	141	10657
technical_replicate	2.0	replicate 2	footprint_size	2.670140235566953	2.69407381540863	138	10657
technical_replicate	2.0	replicate 2	footprint_size	2.69407381540863	2.7180073952503068	139	10657
technical_replicate	2.0	replicate 2	footprint_size	2.7180073952503068	2.7419409750919836	131	10657
technical_replicate	2.0	replicate 2	footprint_size	2.7419409750919836	2.7658745549336605	132	10657
technical_replicate	2.0	replicate 2	footprint_size	2.7658745549336605	2.7898081347753374	124	10657
technical_replicate	2.0	replicate 2	footprint_size	2.7898081347753374	2.8137417146170143	152	10657
technical_replicate	2.0	replicate 2	footprint_size	2.8137417146170143	2.837675294458691	159	10657
technical_replicate	2.0	replicate 2	footprint_size	2.837675294458691	2.8616088743003685	145	10657
technical_replicate	2.0	replicate 2	footprint_size	2.8616088743003685	2.885542454142045	144	10657
technical_replicate	2.0	replicate 2	footprint_size	2.885542454142045	2.9094760339837222	133	10657
technical_replicate	2.0	replicate 2	footprint_size	2.9094760339837222	2.9334096138253987	139	10657
technical_replicate	2.0	replicate 2	footprint_size	2.9334096138253987	2.957343193667076	135	10657
technical_replicate	2.0	replicate 2	footprint_size	2.957343193667076	2.9812767735087524	141	10657
technical_replicate	2.0	replicate 2	footprint_size	2.9812767735087524	3.0052103533504297	143	10657
technical_replicate	2.0	replicate 2	footprint_size	3.0052103533504297	3.029143933192106	127	10657
technical_replicate	2.0	replicate 2	footprint_size	3.029143933192106	3.0530775130337835	127	10657
technical_replicate	2.0	replicate 2	footprint_size	3.0530775130337835	3.0770110928754604	115	10657
technical_replicate	2.0	replicate 2	footprint_size	3.0770110928754604	3.1009446727171373	118	10657
technical_replicate	2.0	replicate 2	footprint_size	3.1009446727171373	3.124878252558814	144	10657
technical_replicate	2.0	replicate 2	footprint_size	3.124878252558814	3.148811832400491	116	10657
technical_replicate	2.0	replicate 2	footprint_size	3.148811832400491	3.172745412242168	109	10657
technical_replicate	2.0	replicate 2	footprint_size	3.172745412242168	3.1966789920838448	134	10657
technical_replicate	2.0	replicate 2	footprint_size	3.1966789920838448	3.2206125719255216	109	10657
technical_replicate	2.0	replicate 2	footprint_size	3.2206125719255216	3.2445461517671985	128	10657
technical_replicate	2.0	replicate 2	footprint_size	3.2445461517671985	3.2684797316088754	124	10657
technical_replicate	2.0	replicate 2	footprint_size	3.2684797316088754	3.2924133114505523	119	10657
technical_replicate	2.0	replicate 2	footprint_size	3.2924133114505523	3.316346891292229	102	10657
technical_replicate	2.0	replicate 2	footprint_size	3.316346891292229	3.340280471133906	104	10657
technical_replicate	2.0	replicate 2	footprint_size	3.340280471133906	3.364214050975583	105	10657
technical_replicate	2.0	replicate 2	footprint_size	3.364214050975583	3.38814763081726	108	10657
technical_replicate	2.0	replicate 2	footprint_size	3.38814763081726	3.412081210658937	106	10657
technical_replicate	2.0	replicate 2	footprint_size	3.412081210658937	3.4360147905006135	105	10657
