dataset	offset_bp	p_in_nuc	denom
m6a_200 sperm	150	0.3977873732913635	184577
m6a_200 sperm	151	0.3903769158670907	184577
m6a_200 sperm	152	0.3830704800706481	184577
m6a_200 sperm	153	0.3758117208536275	184577
m6a_200 sperm	154	0.36879676232683384	184577
m6a_200 sperm	155	0.3617785531241704	184577
m6a_200 sperm	156	0.35479285068020394	184577
m6a_200 sperm	157	0.3479263396847928	184577
m6a_200 sperm	158	0.341235365186345	184577
m6a_200 sperm	159	0.33472426141935346	184577
m6a_200 sperm	160	0.32843312005287767	184577
m6a_200 sperm	161	0.3222969275695239	184577
m6a_200 sperm	162	0.3161899911689972	184577
m6a_200 sperm	163	0.3102293351826067	184577
m6a_200 sperm	164	0.30426759563759304	184577
m6a_200 sperm	165	0.2983426970857691	184577
m6a_200 sperm	166	0.2925705802998207	184577
m6a_200 sperm	167	0.28697508356945883	184577
m6a_200 sperm	168	0.28142509630127266	184577
m6a_200 sperm	169	0.27598563201265597	184577
m6a_200 sperm	170	0.27064693867599976	184577
m6a_200 sperm	171	0.2653320836290545	184577
m6a_200 sperm	172	0.26004540110631336	184577
m6a_200 sperm	173	0.254946174225391	184577
m6a_200 sperm	174	0.2499227964480948	184577
m6a_200 sperm	175	0.2449980225055126	184577
m6a_200 sperm	176	0.2401946071287322	184577
m6a_200 sperm	177	0.23553097081434848	184577
m6a_200 sperm	178	0.230938849369098	184577
m6a_200 sperm	179	0.2264919247793604	184577
m6a_200 sperm	180	0.22205908645172479	184577
m6a_200 sperm	181	0.21764466862068405	184577
m6a_200 sperm	182	0.21327576025181905	184577
m6a_200 sperm	183	0.20890035053121467	184577
m6a_200 sperm	184	0.20455202977619097	184577
m6a_200 sperm	185	0.2002741403316773	184577
m6a_200 sperm	186	0.19603092476310702	184577
m6a_200 sperm	187	0.19190473352584558	184577
m6a_200 sperm	188	0.18784030513010833	184577
m6a_200 sperm	189	0.18373470150668827	184577
m6a_200 sperm	190	0.17967352378682067	184577
m6a_200 sperm	191	0.17567410890847723	184577
m6a_200 sperm	192	0.17160642983687027	184577
m6a_200 sperm	193	0.1675105782410593	184577
m6a_200 sperm	194	0.16349165930749768	184577
m6a_200 sperm	195	0.15948140884292195	184577
m6a_200 sperm	196	0.15550258157841987	184577
m6a_200 sperm	197	0.15146632570688656	184577
m6a_200 sperm	198	0.14854120196009912	184577
m6a_200 sperm	199	0.14667972368398108	184577
m6a_200 sperm	200	0.14590885710078075	184567
m6a_200 sperm	201	0.14618902326042668	184556
m6a_200 sperm	202	0.14763029044465614	184546
m6a_200 sperm	203	0.14903237188943783	184533
m6a_200 sperm	204	0.15035782149088575	184523
m6a_200 sperm	205	0.1516429052321037	184515
m6a_200 sperm	206	0.15286237019805715	184503
m6a_200 sperm	207	0.15400050006889324	184489
m6a_200 sperm	208	0.15507204677171518	184474
m6a_200 sperm	209	0.1560781595767698	184465
m6a_200 sperm	210	0.15701515080131476	184454
m6a_200 sperm	211	0.15790097485731056	184445
m6a_200 sperm	212	0.15874460600423937	184424
m6a_200 sperm	213	0.15954913037036295	184411
m6a_200 sperm	214	0.16034884722261095	184402
m6a_200 sperm	215	0.16109776376295873	184392
m6a_200 sperm	216	0.16183359048398063	184380
m6a_200 sperm	217	0.16254417065847965	184365
m6a_200 sperm	218	0.16324037801415353	184353
m6a_200 sperm	219	0.16391154180023748	184340
m6a_200 sperm	220	0.16459619340710474	184332
m6a_200 sperm	221	0.16522106722469898	184321
m6a_200 sperm	222	0.16584295056623166	184310
m6a_200 sperm	223	0.1664350710463684	184293
m6a_200 sperm	224	0.1669923658321977	184273
m6a_200 sperm	225	0.16746093782468574	184256
m6a_200 sperm	226	0.16792127801644394	184240
m6a_200 sperm	227	0.16834712688531764	184222
m6a_200 sperm	228	0.16874771686704104	184203
m6a_200 sperm	229	0.1691447712180032	184194
m6a_200 sperm	230	0.169564889144748	184179
m6a_200 sperm	231	0.16999393625692452	184159
m6a_200 sperm	232	0.17044550733306202	184140
m6a_200 sperm	233	0.170868718969954	184126
m6a_200 sperm	234	0.17127493221218604	184113
m6a_200 sperm	235	0.17162120449868937	184099
m6a_200 sperm	236	0.17191556510778716	184089
m6a_200 sperm	237	0.1721496896057942	184083
m6a_200 sperm	238	0.17237785264909197	184068
m6a_200 sperm	239	0.1725979183295512	184052
m6a_200 sperm	240	0.17283217454049665	184041
m6a_200 sperm	241	0.17310814694216836	184028
m6a_200 sperm	242	0.17336964895948404	184016
m6a_200 sperm	243	0.17357796244915108	183999
m6a_200 sperm	244	0.1737458964343988	183985
m6a_200 sperm	245	0.17389594405722603	183968
m6a_200 sperm	246	0.1739762075197691	183956
m6a_200 sperm	247	0.17404490390817762	183941
m6a_200 sperm	248	0.17414221025454613	183931
m6a_200 sperm	249	0.17422595842032523	183915
m6a_200 sperm	250	0.17428645301572018	183902
m6a_200 sperm	251	0.1743549491652278	183887
m6a_200 sperm	252	0.1743984362881267	183880
m6a_200 sperm	253	0.17437684945059143	183868
m6a_200 sperm	254	0.17429684028121437	183852
m6a_200 sperm	255	0.17420164522752968	183838
m6a_200 sperm	256	0.17408199252236883	183827
m6a_200 sperm	257	0.17392262765572983	183814
m6a_200 sperm	258	0.17383610647294595	183799
m6a_200 sperm	259	0.1737791347625031	183780
m6a_200 sperm	260	0.17372797623281014	183772
m6a_200 sperm	261	0.17364302296918552	183760
m6a_200 sperm	262	0.17359605788727084	183745
m6a_200 sperm	263	0.17346261838710156	183736
m6a_200 sperm	264	0.1733066337952051	183729
m6a_200 sperm	265	0.17311504207385697	183712
m6a_200 sperm	266	0.17290567155072034	183704
m6a_200 sperm	267	0.17265370686275922	183693
m6a_200 sperm	268	0.17238701305381227	183680
m6a_200 sperm	269	0.17207818611619324	183662
m6a_200 sperm	270	0.17172105628954185	183642
m6a_200 sperm	271	0.17134570684791214	183632
m6a_200 sperm	272	0.1709726399334841	183617
m6a_200 sperm	273	0.17057533276037531	183608
m6a_200 sperm	274	0.1702263001965822	183595
m6a_200 sperm	275	0.16989174101101756	183582
m6a_200 sperm	276	0.16953225875962347	183564
m6a_200 sperm	277	0.16915621209802165	183547
m6a_200 sperm	278	0.16873251033103426	183537
m6a_200 sperm	279	0.1682595124918342	183519
m6a_200 sperm	280	0.1677353920681232	183504
m6a_200 sperm	281	0.16722338022189623	183493
m6a_200 sperm	282	0.16664751991788118	183481
m6a_200 sperm	283	0.16607083200921957	183470
m6a_200 sperm	284	0.1654906105780122	183455
m6a_200 sperm	285	0.16492666030183245	183438
m6a_200 sperm	286	0.16434717577754232	183422
m6a_200 sperm	287	0.16373834635349138	183410
m6a_200 sperm	288	0.1632103238746449	183394
m6a_200 sperm	289	0.1626558658378469	183384
m6a_200 sperm	290	0.16210696348964296	183372
m6a_200 sperm	291	0.1615371148293232	183357
m6a_200 sperm	292	0.16100789722184586	183344
m6a_200 sperm	293	0.16040805385330434	183335
m6a_200 sperm	294	0.1598263224190241	183323
m6a_200 sperm	295	0.1592545650008006	183309
m6a_200 sperm	296	0.158665626329178	183296
m6a_200 sperm	297	0.15807684598344873	183288
m6a_200 sperm	298	0.15746949794047155	183277
m6a_200 sperm	299	0.15684471413740372	183270
m6a_200 sperm	300	0.1561758006581473	183262
m6a_200 sperm	301	0.15552460522419365	183242
m6a_200 sperm	302	0.15485360967503897	183230
m6a_200 sperm	303	0.15422468397533046	183217
m6a_200 sperm	304	0.15356423956628357	183204
m6a_200 sperm	305	0.15289960083543083	183192
m6a_200 sperm	306	0.15226396554440294	183177
m6a_200 sperm	307	0.151625626658698	183170
m6a_200 sperm	308	0.15092621995950184	183166
m6a_200 sperm	309	0.15027023328293218	183149
m6a_200 sperm	310	0.14959937412114954	183136
m6a_200 sperm	311	0.1488762391564701	183122
m6a_200 sperm	312	0.14814640157080336	183112
m6a_200 sperm	313	0.14748434799719495	183100
m6a_200 sperm	314	0.14681736033778156	183090
m6a_200 sperm	315	0.1461777606968902	183076
m6a_200 sperm	316	0.14554244394241897	183065
