tf	group	metric	n_peaks	mean	median	mean_diff	signed_effect	mw_u_stat	mw_pvalue	log10_pvalue	rank	q	category	ctx
CREB3L4	spermatid	lacuna_at	751	0.0746486187186675	0.0689655172413793	0.0057550813307699	0.0057550813307699	435234.5	0.0050936148775541	2.29297389464448	31	0.01875376386735828	germline_late_active	distal
ERG	endothelial	lacuna_at	929	0.0744228937397408	0.0689655172413793	0.0055293563518433	0.0055293563518433	535110.0	0.0066661116625768	2.176127415842783	34	0.0226765006849368	dev_gene_associated	distal
EGR3	other	lacuna_at	411	0.0775577633255465	0.0714285714285714	0.0086642259376489	0.0086642259376489	240905.0	0.0067189631659072	2.172697739753706	35	0.0226765006849368	architectural_universal	distal
ETS1	architectural	lacuna_at	577	0.0750872530648018	0.0666666666666666	0.0061937156769042	0.0061937156769042	335188.5	0.0070865332703654	2.1495661695779336	37	0.0229603677959839	architectural_universal	distal
FLI1	endothelial	lacuna_at	378	0.0760871045273908	0.0689655172413793	0.0071935671394933	0.0071935671394933	221810.5	0.0075110493722326	2.12429938327106	38	0.023399807659647717	dev_gene_associated	distal
NFYA	architectural	lacuna_at	487	0.0755906845856967	0.0714285714285714	0.0066971471977991	0.0066971471977991	283452.5	0.0085978250075353	2.065611398371742	39	0.0257934750226059	architectural_universal	distal
TCFL5	meiotic_entry	lacuna_at	687	0.0746315608520643	0.0666666666666666	0.0057380234641667	0.0057380234641667	396651.0	0.0091760054189187	2.037346338632747	40	0.026544872819014808	germline_late_active	distal
GABPA	architectural	lacuna_at	1008	0.0736432852863576	0.0666666666666666	0.0047497478984601	0.0047497478984601	577805.0	0.0100506930889047	1.9978039885611023	41	0.027263465379682404	architectural_universal	distal
YY1	architectural	lacuna_at	523	0.0745585414053671	0.0689655172413793	0.0056650040174695	0.0056650040174695	303373.5	0.0101019311775864	1.995595594574041	42	0.027263465379682404	architectural_universal	distal
CREM	spermatid	lacuna_at	336	0.0760040647800208	0.0714285714285714	0.0071105273921233	0.0071105273921233	197060.5	0.0104341657625945	1.9815422681303907	43	0.027263465379682404	germline_late_active	distal
SOHLH2	diff_SPG	lacuna_at	560	0.0753811090942311	0.064516129032258	0.0064875717063336	0.0064875717063336	323991.0	0.0112228711693496	1.9498960224480504	44	0.028407892647416173	germline_late_active	distal
EGR2	other	lacuna_at	583	0.0755561180886535	0.064516129032258	0.006662580700756	0.006662580700756	336374.0	0.0133806105092702	1.8735240708164451	45	0.03284331670457231	architectural_universal	distal
USF2	architectural	lacuna_at	53	0.0831921838133628	0.08	0.0142986464254653	0.0142986464254653	33740.0	0.0151011205432453	1.820990825707325	46	0.03597619894126086	architectural_universal	distal
TBX21	other	lacuna_at	336	0.075320394652373	0.0701970443349753	0.0064268572644755	0.0064268572644755	195376.5	0.0200509638021092	1.697864747039929	48	0.04640365908488129	dev_gene_associated	distal
EOMES	other	lacuna_at	426	0.0745307507784308	0.0666666666666666	0.0056372133905332	0.0056372133905332	245650.0	0.0243921440346067	1.6127500241440602	49	0.05488232407786507	dev_gene_associated	distal
E2F4	architectural	lacuna_at	372	0.0739318539535309	0.0714285714285714	0.0050383165656333	0.0050383165656333	214869.5	0.0269832581074519	1.568905612386195	50	0.05673438103809807	architectural_universal	distal
NFYB	architectural	lacuna_at	634	0.0737869605373879	0.064516129032258	0.0048934231494904	0.0048934231494904	362293.0	0.0274188156963092	1.5619513076670584	51	0.05673438103809807	architectural_universal	distal
CREB1	architectural	lacuna_at	400	0.0741473840070104	0.0666666666666666	0.0052538466191128	0.0052538466191128	230604.0	0.0274902158688625	1.5608218498150357	52	0.05673438103809807	architectural_universal	distal
SOX2	pioneer	lacuna_at	512	0.0724887307265875	0.0666666666666666	0.00359519333869	0.00359519333869	293609.0	0.0280169782904188	1.5525787064008043	53	0.05673438103809807	germline_SSC_or_pluripotency	distal
MYB	other	lacuna_at	273	0.0744288275516923	0.0666666666666666	0.0055352901637947	0.0055352901637947	158776.5	0.0287867632151451	1.5408071644664156	54	0.05687141025431105	germline_late_active	distal
ATF1	architectural	lacuna_at	287	0.0759766563580523	0.0714285714285714	0.0070831189701548	0.0070831189701548	166621.5	0.0295687319778531	1.5291672993098344	55	0.05702541167157384	architectural_universal	distal
NFE2L2	other	lacuna_at	213	0.0740005886997276	0.074074074074074	0.0051070513118301	0.0051070513118301	124560.0	0.0320172622840216	1.494615806263505	56	0.060311587093156975	architectural_universal	distal
NKX2-5	other	lacuna_at	452	0.073303778310067	0.0666666666666666	0.0044102409221694	0.0044102409221694	259202.5	0.0336109524315958	1.4735191807787866	57	0.061874707885437724	somatic	distal
ATF2	architectural	lacuna_at	197	0.0758990689322378	0.0689655172413793	0.0070055315443403	0.0070055315443403	114626.0	0.0473907932274292	1.3243060220156797	59	0.08404404409859266	architectural_universal	distal
STAT3	diff_SPG	lacuna_at	372	0.0743540797134241	0.0689655172413793	0.0054605423255266	0.0054605423255266	213061.0	0.0477287164016699	1.3212202452308166	60	0.08404404409859266	germline_late_active	distal
NRF1	architectural	lacuna_at	839	0.073026747036676	0.0625	0.0041332096487784	0.0041332096487784	474190.5	0.0492939778958776	1.307206133995371	61	0.08495345126736352	architectural_universal	distal
GATA4	sertoli	lacuna_at	419	0.0727706064757442	0.0666666666666666	0.0038770690878467	0.0038770690878467	239083.0	0.0523797318255585	1.2808367294117082	62	0.08839079745562999	somatic	distal
MTF1	other	lacuna_at	173	0.0758555806759598	0.0666666666666666	0.0069620432880623	0.0069620432880623	100297.0	0.0669982603457044	1.1739364738972289	64	0.11075222628575626	architectural_universal	distal
