depth_bp	r_nuc	p_nuc	r_nuc_ss	p_nuc_ss	r_prot	p_prot	r_prot_ss	p_prot_ss	depth_gbp
100000.0	-0.20708680688156647	0.49723564799314296	0.1934468085703884	0.5469069513206631	-0.1808599275027906	0.5543164095384615	-0.4391960908261891	0.15315455651581433	0.0001
100000.0	0.3643719039038	0.22094435967222392	0.2766352134607492	0.3840697807460903	-0.1875986389544857	0.53939299472138	-0.541686227383298	0.06889671056905014	0.0001
100000.0	0.12329717336083593	0.6882008423137079	0.3959278350527722	0.20264537762303214	-0.21877535601887838	0.4726973418389354	-0.3099909331462417	0.32680110927173045	0.0001
100000.0	0.49853089476928325	0.08291020418153554	0.5123216516148938	0.08857289202952065	0.36480960728800205	0.22034840773196812	0.31292701124987415	0.3219970780018092	0.0001
100000.0	0.46985148663425846	0.1052178340122012	0.45324082860376247	0.13893384750129176	-0.6407467350424021	0.01829323269897871	-0.6052633458070148	0.037032359998311316	0.0001
100000.0	0.0023561444400458653	0.9939049421338904	0.30756947762069703	0.3307923532304909	-0.18097410974634348	0.5540621127435159	-0.445628600190226	0.14653094641564926	0.0001
100000.0	0.17703745377236466	0.5628575442243686	0.4122091507363434	0.1830056040140613	-0.2897875533053238	0.33685840742509804	-0.483992623780381	0.1108564306262366	0.0001
100000.0	0.02354006546283065	0.9391548062105344	-0.089109930002747	0.783011263380187	0.6878420037060851	0.009359727826262087	0.624170892827749	0.030058707290741296	0.0001
100000.0	0.3753237985687998	0.20632928081012405	0.28421711842015934	0.3706237491850127	-0.40651793252708746	0.1680649412615676	-0.3479503144550978	0.26772882363071754	0.0001
100000.0	0.19859928728953008	0.5154091812867884	0.2770195613589114	0.383382203140568	-0.42764226183591675	0.14493796056678626	-0.3896931528510541	0.21049376959863958	0.0001
100000.0	0.4634919175597011	0.11066523254431876	0.38448338816163186	0.2171914911034244	-0.2942415740802069	0.32914327563202583	-0.5389346303187917	0.0705987880701102	0.0001
100000.0	0.39459805662380476	0.18210205418636274	0.38657091944464445	0.21449248067848523	-0.30753138943620106	0.30671319425156973	-0.3927697585050953	0.20659812863391738	0.0001
100000.0	-0.15306695667339176	0.6176096000769289	0.36453924478341526	0.24400697629062557	0.009448409686665493	0.9755611874219944	-0.3242156880440214	0.30389063661011284	0.0001
100000.0	-0.25192033784420786	0.4063650545869023	0.5176848591152344	0.08472572228111504	-0.05373282623897994	0.861598753393164	-0.20972099122981908	0.5129832282800888	0.0001
100000.0	0.2385945744670856	0.4324395294450755	0.4809476148584071	0.1134528575379825	0.260359459200955	0.3902789014913301	0.05000364137130106	0.8773534875922149	0.0001
100000.0	0.32668406183074117	0.27596106343397636	0.5790218294522022	0.04852432764703831	-0.5055610534016519	0.07798770765870079	-0.6695153591255609	0.017241390370806766	0.0001
100000.0	0.37440431770456667	0.20753258736595975	0.38470525289786206	0.21690366840036784	-0.19849763896095346	0.5156286020259576	-0.3052386376516919	0.33465912883676796	0.0001
100000.0	0.21250081694212283	0.4857982233429513	0.19938768242337795	0.5344158719074567	0.16499926279138627	0.5901040213638266	-0.08181454498510336	0.8004456563373783	0.0001
100000.0	-0.42689526070407796	0.1457180703168957	-0.1555702541944229	0.6292396382354589	-0.0021606553215532606	0.9944106412017097	-0.3962234434129651	0.2022777710339564	0.0001
100000.0	0.5874863138438913	0.03474969465295079	0.5809491649102807	0.04760445204937649	-0.38732071567487836	0.19102643526099608	-0.3997190962606066	0.19796167592976605	0.0001
100000.0	0.3529106604058824	0.23690088163403614	0.37622013691297723	0.22807557008451038	-0.028993147644787193	0.9250921313065736	-0.1187260963659843	0.7132446331994253	0.0001
100000.0	0.1936419449230865	0.5261582751728676	0.07617783328728175	0.8139740834019077	-0.3754581038483583	0.20615388162182618	-0.3516689903514754	0.2622995625121814	0.0001
100000.0	0.47502469402730674	0.10092304096608741	0.5101173105904637	0.09018779399411457	-0.26464186888613883	0.38224482753642736	-0.20567641308120754	0.5213271049764274	0.0001
100000.0	0.1311863067925701	0.6692381780171108	0.02954455454332256	0.9273772510892838	-0.2949295753342844	0.32796035204881596	-0.5905438949849338	0.0432072509264805	0.0001
100000.0	0.31159985441290444	0.3000246303460958	0.6778205883696717	0.015422355265710926	0.0781075268026067	0.7997809380066805	-0.04836679540720352	0.8813428212883965	0.0001
100000.0	0.47962832516060333	0.09720284206128153	0.43924082861960667	0.15310784146091236	-0.5019922560446658	0.08046044309680724	-0.525569367241555	0.07927831641774186	0.0001
100000.0	0.0036217918671218943	0.9906309731659255	-0.140346054524743	0.6635285171257777	0.07587296012539545	0.8054089283836274	0.150442019434038	0.6407188660425887	0.0001
100000.0	0.34527870391264215	0.24790198491268572	0.324685094962076	0.3031503126074591	-0.5663633792920518	0.043597456635933424	-0.6123542035857253	0.034294553284779226	0.0001
100000.0	-0.5815876616402209	0.037075167938105176	-0.360169106448	0.2501315189139716	0.06851765796061003	0.8239937598029952	-0.11941231170492321	0.7116496508171	0.0001
100000.0	0.619844475721554	0.023838768144552602	0.5927744506612235	0.042227743692239514	-0.4305723498612855	0.14190443149592621	-0.44554666649811364	0.14661413666835732	0.0001
100000.0	-0.03425587801010026	0.9115392805120173	0.06236016731636111	0.8473284675226326	0.20050751639861536	0.5112977466360707	-0.15809926917993206	0.6236060217901702	0.0001
100000.0	-0.47021681588098113	0.1049105408501819	-0.5347102825414294	0.07326779811250358	-0.06388272892143607	0.8357491117811674	0.2120183593382207	0.5082700362050016	0.0001
100000.0	0.4886159174685822	0.09021220129310659	0.4582873669086599	0.13404046014880724	-0.3696843564604288	0.2137779198971268	-0.34899738781730955	0.2661935874937676	0.0001
100000.0	0.455166127804468	0.11808013940075082	0.5025959146914873	0.0958472578688962	0.24429776986047544	0.4211802929067893	0.3055012762672743	0.3342222028613858	0.0001
100000.0	0.3941101303722401	0.18269197961515726	0.6892042423581782	0.01316383355501753	-0.2535007686132593	0.4033270884981699	-0.35689464595092657	0.2547790230736791	0.0001
100000.0	0.7593581338923847	0.0026051577191765624	0.7161149500612645	0.008803136662794723	-0.3254373117223662	0.2779059208405521	-0.20164769164193572	0.5296961119614617	0.0001
100000.0	0.33579193537178176	0.26199521670101306	0.42182608879200695	0.17198350306254215	-0.19963958233176032	0.5131659615238963	-0.26384683703543044	0.40730596693050847	0.0001
100000.0	0.2875027720715379	0.3408542851551274	0.3189301420732275	0.3122961893810033	-0.16701189427947397	0.585512778771564	-0.21214214287728814	0.5080166301881074	0.0001
100000.0	0.006404581142090443	0.9834330122867107	-0.0635384196529939	0.8444745510572031	0.2979623200663304	0.3227741630872812	0.1600528493560044	0.6192668588885554	0.0001
100000.0	0.16456728524941588	0.5910913007540793	0.17626976618789533	0.583686995662444	-0.3966218669920836	0.1796680814801651	-0.49307159909090514	0.10334958392674891	0.0001
100000.0	-0.3569422287787065	0.2312108339660653	0.14134947866664802	0.6612493494392521	0.18641637188091997	0.5419986980217155	-0.17747513121036695	0.5810748034457778	0.0001
100000.0	0.262716542842244	0.38584605940961036	0.20013251658979817	0.532858405900811	-0.1661477576112464	0.5874823196127297	-0.21650775185930582	0.4991153005433341	0.0001
100000.0	-0.07059761114272585	0.818729298665716	0.24714854496979283	0.4386731427476234	-0.42597687912475507	0.1466809154615175	-0.48686404266133965	0.1084443670278431	0.0001
100000.0	0.11094976906799178	0.7182157940555889	0.07190841859657102	0.8242522648136267	0.04055058709942304	0.895358003777802	-0.06296488707554437	0.8458635267217106	0.0001
100000.0	0.26142256916642986	0.38827629889189724	0.21082356456279516	0.5107188456657317	-0.18185736087794457	0.5520966659794182	-0.11758971192462106	0.7158882685373036	0.0001
100000.0	0.7762915758530398	0.0018067935657091658	0.7419342574031782	0.005732960427385608	-0.6080083911273382	0.027482933827246498	-0.6818411083062039	0.014594449253560576	0.0001
100000.0	-0.007586360298837427	0.9803765432748551	0.17499042699093448	0.5864645168902026	-0.2931225529715912	0.3310723226154377	-0.5297860368020283	0.07646540795873039	0.0001
100000.0	-0.0986695290166282	0.7484414909370567	0.11680617039523881	0.7177127370711732	0.4721565975641907	0.10328910832493068	0.3788048486909589	0.22463668671132397	0.0001
100000.0	0.2959052107975399	0.32628693399642006	0.29235223225391294	0.35647454272478163	0.053192592819374385	0.8629783971770415	-0.029939987725385614	0.9264075535829384	0.0001
100000.0	-0.28618817707751515	0.34316510765740194	0.26241809157378254	0.4099447795598276	-0.15118254811097206	0.6219968836112619	-0.6322345320206321	0.027393471096929686	0.0001
100000.0	0.007537662552086599	0.9805024870322662	-0.16269934077328368	0.6134064127141984	-0.22558162382778368	0.45867730504574966	-0.00650739440828086	0.9839866132310155	0.0001
100000.0	0.36339535833412506	0.2222775266961997	0.351528023136535	0.26250420016308273	-0.4952870207128221	0.08525246548738846	-0.553701505083668	0.06179518835907136	0.0001
